,CFIBF,RACCB,JS,nonRedudantComparisonsP1,nonRedudantComparisonsP2
12,103.95121595935558,0.002380952380952381,0.02631578947368421,38.0,36.0
43,89.44420026014006,0.1111111111111111,0.030612244897959183,56.0,37.0
189,161.9233786846948,0.002380952380952381,0.03821656050955414,54.0,71.0
358,152.05464997254612,1.0,0.04716981132075472,18.0,86.0
384,75.38067332450896,0.002,0.015151515151515152,103.0,56.0
509,90.57754092629385,0.05555555555555555,0.058823529411764705,36.0,11.0
617,131.86327223068264,1.0,0.03496503496503497,74.0,34.0
708,93.07382961124026,0.03333333333333333,0.02830188679245283,38.0,63.0
757,95.80583399630329,0.16666666666666666,0.05357142857142857,29.0,17.0
900,75.96110559913943,0.0125,0.028985507246376812,29.0,37.0
915,145.0295991279897,0.002,0.03597122302158273,58.0,57.0
1217,121.4356364186502,0.16666666666666666,0.02962962962962963,67.0,37.0
1246,161.33120733100753,0.002380952380952381,0.04504504504504504,37.0,42.0
1435,83.62430059384909,0.047619047619047616,0.03409090909090909,47.0,38.0
1506,141.1922474478322,1.0,0.03676470588235294,70.0,51.0
1727,58.22553786940321,0.04,0.02857142857142857,27.0,42.0
1744,87.01775947679381,0.5,0.0297029702970297,64.0,22.0
1810,122.69186662406462,1.0,0.01834862385321101,100.0,75.0
2027,138.04734474788503,0.2,0.16666666666666666,13.0,5.0
2073,87.33830680410482,0.017857142857142856,0.022058823529411766,52.0,59.0
2122,206.05988690976247,0.03125,0.04487179487179487,23.0,119.0
2247,109.55573855026725,1.0,0.023255813953488372,70.0,81.0
2289,87.33403503279004,0.047619047619047616,0.038461538461538464,40.0,37.0
2365,143.01983674453237,0.002,0.032679738562091505,70.0,61.0
2447,83.23346866662474,0.1111111111111111,0.03125,32.0,40.0
2498,115.24435726268472,0.00980392156862745,0.022598870056497175,42.0,107.0
2562,97.70495360262981,0.0011123470522803114,0.02564102564102564,46.0,58.0
2604,73.61104623279537,1.0,0.06060606060606061,31.0,1.0
2679,87.33403503279004,1.0,0.02702702702702703,53.0,44.0
2716,156.57577196792244,0.025,0.028846153846153848,61.0,125.0
