,CFIBF,RACCB,JS,nonRedudantComparisonsP1,nonRedudantComparisonsP2
52,210.44626047195655,8.685079034219212e-05,0.008032128514056224,463.0,13.0
558,295.93102253381505,1.0,0.035897435897435895,150.0,31.0
1302,248.57730971901373,0.007352941176470588,0.02857142857142857,163.0,11.0
1665,298.29277166281645,0.16666666666666666,0.03389830508474576,158.0,15.0
2443,169.12263316530064,0.00423728813559322,0.010273972602739725,281.0,9.0
2801,317.9083411215621,0.3333333333333333,0.014989293361884369,435.0,23.0
3373,403.7600919456027,0.00028935185185185184,0.012578616352201259,709.0,66.0
4319,290.6786430600344,0.013157894736842105,0.015915119363395226,362.0,15.0
5833,272.4928638184818,8.329168748958855e-05,0.004379562043795621,1267.0,28.0
6961,248.57730971901373,0.04,0.008169934640522876,575.0,31.0
7631,317.9083411215621,0.02631578947368421,0.008158508158508158,813.0,19.0
9242,273.7455741933315,0.06666666666666667,0.011741682974559686,489.0,13.0
10467,198.86184777521098,0.00102880658436214,0.00904977375565611,384.0,44.0
11009,380.4827432577622,0.00031486146095717883,0.008395522388059701,943.0,61.0
12069,200.53269439248012,0.00043010752688172043,0.011461318051575931,332.0,16.0
12751,298.29277166281645,0.0008130081300813008,0.01662049861495845,323.0,30.0
13646,205.07447461782485,0.001366120218579235,0.01951219512195122,170.0,27.0
14206,225.49684422040085,0.0006613756613756613,0.03125,111.0,15.0
14728,231.6215913677339,0.0021141649048625794,0.0077279752704791345,560.0,57.0
15240,339.1962535245081,0.0125,0.019002375296912115,379.0,26.0
15867,255.08862263835766,0.0004816955684007707,0.015384615384615385,300.0,18.0
16254,311.67126875801046,0.007042253521126761,0.01728395061728395,372.0,27.0
16991,242.23220255002866,0.0024691358024691358,0.016286644951140065,257.0,41.0
17450,181.6619092123212,0.0022222222222222222,0.017094017094017096,174.0,57.0
17800,176.91009818439235,0.002173913043478261,0.014598540145985401,229.0,38.0
18451,153.80585596336863,0.00980392156862745,0.02112676056338028,110.0,15.0
18993,189.4939927029226,0.0003450655624568668,0.00425531914893617,906.0,20.0
19618,356.91058202673025,0.16666666666666666,0.018957345971563982,368.0,35.0
21073,349.9083211877583,0.0004975124378109452,0.015037593984962405,486.0,41.0
22087,242.23220255002866,0.014285714285714285,0.011627906976744186,361.0,34.0
22701,255.2937166295236,0.00390625,0.031413612565445025,170.0,7.0
23291,163.99914906297948,0.07692307692307693,0.02054794520547945,136.0,3.0
24756,253.65516217184145,0.013888888888888888,0.01812688821752266,255.0,49.0
25450,269.3454992379561,0.007246376811594203,0.013043478260869565,428.0,11.0
