,CFIBF,RACCB,JS,nonRedudantComparisonsP1,nonRedudantComparisonsP2,label
988,86.06099594603879,0.0004084967320261438,0.001124543154343548,1664.0,360.0,0
33794,102.96384656757958,0.006493506493506494,0.002613240418118467,815.0,110.0,1
18113,62.470276154249675,0.006060606060606061,0.002190580503833516,608.0,151.0,1
96,38.696133256371915,0.00022153300841825432,0.0016207455429497568,59.0,388.0,0
35,43.82546822259765,0.0007936507936507937,0.004273504273504274,59.0,142.0,0
76391,52.6691999946283,0.006896551724137931,0.0013012361743656475,837.0,234.0,1
5632,33.280854259928105,0.05,0.0016778523489932886,202.0,250.0,1
369129,39.56512621676133,0.002770083102493075,0.002320185614849188,142.0,214.0,1
159,34.71856477744255,0.0001249375312343828,0.0014044943820224719,145.0,387.0,0
256050,92.45895958358494,0.0017241379310344827,0.001193673530289466,1801.0,88.0,1
544959,83.08333752516336,0.0008333333333333334,0.003189792663476874,96.0,357.0,1
655305,55.81856760036585,0.041666666666666664,0.0007372818874416319,2035.0,246.0,1
283362,54.69541416795647,0.0001984126984126984,0.0011254924029262803,1020.0,268.0,1
437797,68.91133151675449,0.0004940711462450593,0.0022471910112359553,238.0,389.0,1
453585,32.44899399361813,0.16666666666666666,0.000777000777000777,358.0,474.0,1
316366,63.201646731532726,0.0001249375312343828,0.0008761682242990654,1807.0,173.0,1
207,35.05381456810465,0.0017094017094017094,0.001483679525222552,145.0,346.0,0
336623,41.162227486945135,0.0008403361344537816,0.0020242914979757085,178.0,200.0,1
178,39.474893145639605,0.0001249375312343828,0.0030959752321981426,145.0,144.0,0
23,42.368264697194135,0.0007936507936507937,0.00211864406779661,59.0,293.0,0
670837,133.12976159718403,0.0007107320540156361,0.00132375189107413,2233.0,272.0,1
357746,144.4713229935151,0.0001249375312343828,0.004561003420752566,272.0,387.0,1
732016,206.421378442894,0.0010964912280701754,0.005368098159509203,534.0,339.0,1
179159,139.04020150236136,0.0001411631846414455,0.0015854141894569957,2219.0,298.0,1
903043,455.09572651914186,0.0007017543859649122,0.01105379513633014,660.0,323.0,1
210952,25.850134245056903,0.000165809981760902,0.0005350454788657035,831.0,438.0,0
612355,31.01078030719092,0.0016339869281045752,0.0009191176470588235,587.0,212.0,0
735788,30.736483762398066,0.0003831417624521073,0.0005998800239952009,885.0,389.0,0
504215,21.069820044256552,0.00011337868480725624,0.0002842524161455372,1793.0,189.0,0
246392,40.630817182092024,0.0006587615283267457,0.0004811161895597787,2051.0,225.0,0
