,CFIBF,RACCB,JS,nonRedudantComparisonsP1,nonRedudantComparisonsP2,label
252867,153.80585596336863,0.00017325017325017325,0.014018691588785047,191.0,16.0,1
690265,64.94683656800603,0.003076923076923077,0.016129032258064516,48.0,14.0,1
569446,193.78576204002295,0.00018800526414739614,0.005517241379310344,692.0,30.0,1
72999,99.43092388760549,0.041666666666666664,0.004166666666666667,348.0,78.0,1
194959,52.82553696375535,0.16666666666666666,0.041666666666666664,22.0,2.0,1
240902,53.77474573888165,0.00010004001600640257,0.0036101083032490976,237.0,17.0,1
1040,53.77474573888165,0.00012436264146250465,0.006097560975609756,69.0,90.0,0
424058,47.505972717345145,0.015151515151515152,0.006578947368421052,139.0,7.0,1
1118259,51.97644078061736,0.0013333333333333333,0.00411522633744856,220.0,15.0,1
2,51.01772452767153,8.685079034219212e-05,0.001984126984126984,463.0,23.0,0
0,52.61156511798914,8.685079034219212e-05,0.0020325203252032522,463.0,11.0,0
416,57.562486195179545,0.00010004001600640257,0.002004008016032064,463.0,18.0,0
502669,64.94683656800603,8.329168748958855e-05,0.0024752475247524753,402.0,2.0,1
534,49.715461943802744,0.1,0.0020242914979757085,463.0,10.0,0
118133,48.7088136857731,0.06666666666666667,0.002702702702702703,337.0,1.0,1
62,62.51340727236997,8.685079034219212e-05,0.002053388090349076,463.0,6.0,0
975,59.36079115344385,0.0008802816901408451,0.00909090909090909,69.0,41.0,0
34221,169.12263316530064,0.0002768549280177187,0.012345679012345678,144.0,56.0,1
686,43.89671832256099,0.002564102564102564,0.004878048780487805,150.0,37.0,0
802,49.36138460293158,0.0014925373134328358,0.005405405405405406,150.0,19.0,0
571,47.505972717345145,0.002564102564102564,0.005681818181818182,150.0,10.0,0
10176,56.0931640585996,0.0023923444976076554,0.009615384615384616,90.0,10.0,1
685,51.97644078061736,0.002564102564102564,0.00558659217877095,150.0,13.0,0
1304,56.0931640585996,0.007352941176470588,0.005649717514124294,163.0,12.0,0
560,47.505972717345145,0.05555555555555555,0.005747126436781609,150.0,8.0,0
571974,54.666383020993166,0.002898550724637681,0.002890173410404624,284.0,22.0,1
991,56.0931640585996,0.041666666666666664,0.008695652173913044,69.0,39.0,0
2379,48.28203855611257,0.00423728813559322,0.0032258064516129032,281.0,27.0,0
546,56.446908843889574,0.025,0.005952380952380952,150.0,2.0,0
2134,52.61156511798914,0.0005030181086519115,0.0038022813688212928,242.0,21.0,0
2157,52.61156511798914,0.010416666666666666,0.004,242.0,5.0,0
2012,54.255198752799856,0.14285714285714285,0.0040650406504065045,242.0,4.0,0
1038,59.36079115344385,0.00012436264146250465,0.01098901098901099,69.0,20.0,0
190682,54.85086989315975,0.0049261083743842365,0.0029069767441860465,330.0,11.0,1
942767,56.37421105510021,0.0013422818791946308,0.003787878787878788,254.0,10.0,1
2188,54.255198752799856,0.010416666666666666,0.0037593984962406013,242.0,22.0,0
2276,51.26861865445621,0.000984251968503937,0.003355704697986577,281.0,15.0,0
1357211,56.0931640585996,0.0007751937984496124,0.00390625,252.0,4.0,1
899406,51.97644078061736,0.015625,0.004219409282700422,234.0,3.0,1
950,61.6792094731618,0.0008802816901408451,0.011764705882352941,69.0,16.0,0
2620,56.37421105510021,0.0012406947890818859,0.0033112582781456954,281.0,19.0,0
876183,57.562486195179545,0.0005307855626326964,0.003257328990228013,301.0,5.0,1
1249935,56.0931640585996,0.1111111111111111,0.0037313432835820895,260.0,5.0,1
949,64.94683656800603,0.0008802816901408451,0.010309278350515464,69.0,28.0,0
2184,59.36079115344385,0.010416666666666666,0.004048582995951417,242.0,5.0,0
4396,53.27098591414912,0.0004374453193350831,0.0026246719160104987,362.0,17.0,0
2598,59.36079115344385,0.0012406947890818859,0.003367003367003367,281.0,14.0,0
2347,56.37421105510021,0.000984251968503937,0.0034482758620689655,281.0,6.0,0
1207,51.26861865445621,6.69882100750268e-05,0.005952380952380952,163.0,3.0,0
4391,56.0931640585996,0.0004374453193350831,0.002680965147453083,362.0,9.0,0
