,CFIBF,RACCB,JS,nonRedudantComparisonsP1,nonRedudantComparisonsP2,label
127960,259.95291855965183,1.0,0.023622047244094488,67.0,139.0,1
83925,189.74744491434544,0.004166666666666667,0.016,124.0,37.0,1
39,82.17116152796372,0.02040816326530612,0.014598540145985401,60.0,26.0,0
18228,132.90257034896084,0.011363636363636364,0.09090909090909091,9.0,11.0,1
189,99.49394807202943,0.1111111111111111,0.020202020202020204,62.0,25.0,0
7003,125.99487884156444,0.0003078817733990148,0.01910828025477707,81.0,34.0,0
91289,126.29205717027449,0.010101010101010102,0.04081632653061224,29.0,17.0,1
7757,132.88064125148261,0.00641025641025641,0.01195219123505976,53.0,123.0,0
1294,145.9791768956672,0.00510204081632653,0.01764705882352941,70.0,50.0,0
20758,187.3594128046249,0.004166666666666667,0.017937219730941704,82.0,37.0,1
5912,164.01229222440415,0.001976284584980237,0.024691358024691357,55.0,47.0,0
7158,138.43212752766783,0.023809523809523808,0.03,22.0,39.0,0
22029,95.43581645017393,0.25,0.0392156862745098,15.0,22.0,0
76343,136.415415548091,0.16666666666666666,0.0410958904109589,18.0,26.0,0
54221,176.76704284803625,0.023809523809523808,0.02127659574468085,71.0,55.0,0
160180,132.90257034896084,0.00641025641025641,0.044444444444444446,21.0,24.0,1
135074,180.01552184906168,0.02857142857142857,0.04054054054054054,32.0,36.0,1
2364,181.887220730788,0.013888888888888888,0.03571428571428571,32.0,51.0,0
5943,211.39669971844376,0.015625,0.02824858757062147,55.0,61.0,0
161429,255.16457979549884,0.004761904761904762,0.03333333333333333,54.0,61.0,1
129061,215.86659451114033,0.000819000819000819,0.032520325203252036,50.0,40.0,1
4345,190.38495863941847,0.013888888888888888,0.03508771929824561,26.0,40.0,0
11693,184.57617003689043,0.0005787037037037037,0.0223463687150838,85.0,42.0,0
2596,230.72021254611303,0.012987012987012988,0.032467532467532464,24.0,54.0,0
76573,161.89994588335526,0.0030864197530864196,0.038461538461538464,28.0,30.0,1
142039,192.34338361009415,0.006993006993006993,0.031007751937984496,66.0,36.0,1
4282,217.4567841851895,0.005917159763313609,0.022026431718061675,66.0,61.0,0
87638,121.60182342836892,0.25,0.25,2.0,2.0,1
10704,132.90257034896084,0.0017482517482517483,0.03508771929824561,18.0,22.0,1
118296,132.90257034896084,0.001851851851851852,0.028985507246376812,21.0,27.0,1
34885,215.86659451114033,0.003663003663003663,0.03225806451612903,51.0,45.0,1
4993,239.64364815010128,0.00909090909090909,0.03076923076923077,83.0,59.0,0
30677,115.55340424268378,0.08333333333333333,0.03571428571428571,37.0,18.0,1
7157,129.8527046108196,0.023809523809523808,0.030612244897959183,22.0,25.0,0
133957,225.67769111136835,0.0625,0.035211267605633804,38.0,49.0,1
16591,169.35293322154143,0.1111111111111111,0.034482758620689655,36.0,51.0,0
4522,91.72484143000152,0.08333333333333333,0.04081632653061224,21.0,11.0,0
3902,107.93329725557017,0.006493506493506494,0.03125,15.0,30.0,0
26968,354.09545657921063,0.001893939393939394,0.026936026936026935,79.0,76.0,1
13643,145.9791768956672,0.007575757575757576,0.030927835051546393,48.0,38.0,1
140132,121.60182342836892,1.0,0.038461538461538464,24.0,28.0,1
