,CFIBF,RACCB,JS,nonRedudantComparisonsP1,nonRedudantComparisonsP2,label
437797,68.91133151675449,0.0004940711462450593,0.0022471910112359553,238.0,389.0,1
18,41.942803885697664,0.0007936507936507937,0.0017857142857142857,59.0,364.0,0
2495,64.020841055335,0.00013779798814937303,0.0014825796886582653,853.0,80.0,0
1423,83.35313807798813,0.0001349527665317139,0.001154068090017311,1664.0,341.0,0
495414,102.04717623114504,0.00013354700854700856,0.0016570008285004142,1113.0,373.0,1
34620,63.944323994756665,0.001488095238095238,0.0018001800180018,441.0,386.0,1
3628,54.350695165968666,0.008547008547008548,0.0016207455429497568,665.0,237.0,0
18113,62.470276154249675,0.006060606060606061,0.002190580503833516,608.0,151.0,1
2937,77.06168796203116,0.047619047619047616,0.0015298317185109638,853.0,425.0,0
595311,104.6352051231488,0.1111111111111111,0.0013116474291710388,1745.0,394.0,1
2504,78.25232161672878,0.00013779798814937303,0.0016731734523145567,853.0,325.0,0
287974,91.33924506425654,0.013888888888888888,0.000997406742469579,2224.0,290.0,1
21223,63.739802815882015,1.0,0.001834862385321101,682.0,207.0,1
343489,41.452770079257995,0.00013815971262779773,0.001976284584980237,386.0,24.0,1
298,33.81442871643818,0.0004329004329004329,0.0018587360594795538,145.0,284.0,0
4,41.162227486945135,0.1,0.002398081534772182,59.0,243.0,0
2277,52.09721485280827,0.00014351320321469576,0.006666666666666667,81.0,66.0,0
221739,89.00769862279776,7.927699381639449e-05,0.006514657980456026,93.0,183.0,1
278886,62.46870613172275,0.002150537634408602,0.0017889087656529517,618.0,277.0,1
13659,86.99347904180726,0.018518518518518517,0.0016242555495397943,1187.0,134.0,1
726665,79.53784392799811,0.0006775067750677507,0.001786777843954735,993.0,280.0,1
336,82.55596029759613,0.0023584905660377358,0.0010893246187363835,1664.0,364.0,0
856029,77.14809543313547,0.1111111111111111,0.0015,1205.0,200.0,1
460895,80.26674207675289,0.0024630541871921183,0.0016326530612244899,88.0,503.0,1
217092,63.875458731606074,0.0001987281399046105,0.0015384615384615385,735.0,274.0,1
586,86.06099594603879,0.0001411631846414455,0.0012135922330097086,1664.0,232.0,0
2542,80.25839296403366,0.00013779798814937303,0.001651073197578426,853.0,358.0,0
230635,88.62996776820826,0.0001411631846414455,0.0010624734381640458,2070.0,321.0,1
599428,55.136332751977065,0.05,0.0023584905660377358,513.0,139.0,1
2549,85.45119798382063,0.00013779798814937303,0.002051983584131327,853.0,160.0,0
670837,133.12976159718403,0.0007107320540156361,0.00132375189107413,2233.0,272.0,1
357746,144.4713229935151,0.0001249375312343828,0.004561003420752566,272.0,387.0,1
732016,206.421378442894,0.0010964912280701754,0.005368098159509203,534.0,339.0,1
179159,139.04020150236136,0.0001411631846414455,0.0015854141894569957,2219.0,298.0,1
903043,455.09572651914186,0.0007017543859649122,0.01105379513633014,660.0,323.0,1
210952,25.850134245056903,0.000165809981760902,0.0005350454788657035,831.0,438.0,0
612355,31.01078030719092,0.0016339869281045752,0.0009191176470588235,587.0,212.0,0
735788,30.736483762398066,0.0003831417624521073,0.0005998800239952009,885.0,389.0,0
504215,21.069820044256552,0.00011337868480725624,0.0002842524161455372,1793.0,189.0,0
246392,40.630817182092024,0.0006587615283267457,0.0004811161895597787,2051.0,225.0,0
