id_l,id_r,venue_dLs,venue_NW,venue_tv,venue_oc,venue_cs,venue_bag,year_div,title_dLs,title_NW,title_tv,title_oc,title_cs,title_bag,authors_dLs,authors_NW,authors_tv,authors_oc,authors_cs,authors_bag,label
10,2289,0.19047619047619047,0.19047619047619047,0.19047619047619047,1.0,0.4364357804719847,0.19047619047619047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1008,415,0.2608695652173913,0.31521739130434784,0.3404255319148937,0.9411764705882352,0.5721588318817212,0.3478260869565217,0.9995002498750624,0.2530120481927711,0.4036144578313253,0.3723404255319149,0.7608695652173914,0.5664350023071129,0.42168674698795183,0.4672897196261683,0.5654205607476636,0.6272727272727273,0.9583333333333334,0.7861238160783627,0.6448598130841121,0
1011,1578,0.058823529411764726,0.14705882352941174,0.05000000000000005,0.25,0.12126781251816655,0.058823529411764726,0.99799899949975,0.19354838709677424,0.5564516129032258,0.5569620253164557,0.7213114754098361,0.7154708005361808,0.7096774193548387,0.18000000000000005,0.46,0.6481481481481481,0.8974358974358975,0.7925939239012171,0.7,0
1016,1648,0.15217391304347827,0.21739130434782608,0.22916666666666666,0.8461538461538461,0.4498234510602419,0.23913043478260865,0.999498746867168,0.4897959183673469,0.5,0.48,0.96,0.6857142857142857,0.4897959183673469,0.30534351145038163,0.36641221374045796,0.4274809160305344,1.0,0.6538202474920262,0.4274809160305344,0
1018,150,0.04347826086956519,0.06521739130434782,0.04166666666666663,0.5,0.1474419561548972,0.04347826086956519,0.9985007496251874,0.2567567567567568,0.5472972972972973,0.5795454545454546,0.7846153846153846,0.7353559959288023,0.6891891891891893,0.3611111111111112,0.5451388888888888,0.5759493670886076,0.8666666666666667,0.7400575553193043,0.6319444444444444,0
1030,1131,0.04761904761904767,0.42857142857142855,0.2666666666666666,0.4705882352941176,0.4234048992199705,0.3809523809523809,0.998998998998999,0.3703703703703704,0.462962962962963,0.4482758620689655,0.8666666666666667,0.6459751934999393,0.4814814814814815,0.3055555555555556,0.5833333333333334,1.0,1.0,1.0,1.0,0
1036,1534,0.21739130434782605,0.3804347826086957,0.3148148148148149,0.68,0.5013026509266503,0.3695652173913043,0.999498746867168,0.2361111111111112,0.5694444444444444,0.5164835164835165,0.7121212121212122,0.6818041524931499,0.6527777777777778,0.5223880597014925,0.6343283582089553,0.8082191780821918,0.9076923076923076,0.894042021733078,0.8805970149253731,0
1036,836,0.4,0.6,0.4838709677419355,0.7142857142857143,0.6546536707079771,0.6,0.9974987493746872,0.2666666666666667,0.5666666666666667,0.6206896551724138,0.8181818181818182,0.7675225788801976,0.72,0.7692307692307692,0.7692307692307693,0.7692307692307693,1.0,0.8770580193070292,0.7692307692307692,0
1037,631,0.1333333333333333,0.18,0.17948717948717952,0.8235294117647058,0.3920784235278427,0.18666666666666665,0.9965034965034965,0.17460317460317465,0.4365079365079365,0.4078947368421053,0.7045454545454546,0.5887963117081294,0.4920634920634921,0.24590163934426235,0.5,0.6666666666666666,0.8979591836734694,0.804803245292489,0.7213114754098361,0
1050,1369,0.19047619047619047,0.19047619047619047,0.19047619047619047,1.0,0.4364357804719847,0.19047619047619047,0.9995002498750624,0.30666666666666664,0.4,0.4358974358974359,0.9189189189189192,0.6454274371116994,0.4533333333333334,0.5,0.6326530612244898,0.7809523809523811,0.9213483146067416,0.8780228356808663,0.8367346938775511,0
