id_l,id_r,name_js,name_tv,name_oc,name_cs,description_js,description_tv,description_oc,description_cs,manufacturer_js,manufacturer_tv,manufacturer_oc,manufacturer_cs,price_div,label
b00002s5ig,http://www.google.com/base/feeds/snippets/8376577004489658408,0.5217391304347826,0.5217391304347826,0.9230769230769232,0.7095748751868991,0.0815518606492478,0.0815518606492478,0.9449541284403672,0.2782635599110129,0.9333333333333332,0.9333333333333332,1.0,0.966091783079296,0.9199839967993598,1
b00002s75b,http://www.google.com/base/feeds/snippets/18029245320668853953,0.2941176470588236,0.2941176470588236,1.0,0.5423261445466404,0.06274509803921569,0.06274509803921569,0.7272727272727273,0.21617674269398568,0.15384615384615385,0.15384615384615385,0.6666666666666666,0.3333333333333333,0.8218316902414632,1
b00004nhn7,http://www.google.com/base/feeds/snippets/18434385825570199468,0.3428571428571429,0.3428571428571429,1.0,0.5855400437691199,0.08989805375347547,0.08989805375347547,0.9509803921568628,0.2930687471213997,0.0,0.0,0.0,0.0,0.9273154362416106,1
b00004ochi,http://www.google.com/base/feeds/snippets/8564521918031484066,0.3333333333333333,0.3333333333333333,1.0,0.5773502691896257,0.1436170212765957,0.1436170212765957,0.9681274900398408,0.3737647748727503,0.125,0.125,0.6666666666666666,0.2981423969999719,0.6664073785976221,1
b000056b63,http://www.google.com/base/feeds/snippets/17180557293748751234,0.6226415094339622,0.6226415094339622,0.8918918918918919,0.7750237972966844,0.1623419827012641,0.1623419827012641,0.9918699186991872,0.4015428773122338,0.058823529411764726,0.058823529411764726,0.3333333333333333,0.14907119849998596,0.8749687421855464,1
b00005op44,http://www.google.com/base/feeds/snippets/18381906790026125106,0.4242424242424243,0.4242424242424243,1.0,0.6513389472789296,0.1476510067114094,0.1476510067114094,1.0,0.3842538310952923,1.0,1.0,1.0,1.0,0.8658659217877096,1
b00005yx8i,http://www.google.com/base/feeds/snippets/18417819850768172148,0.35,0.35,0.6086956521739131,0.5243041203911967,0.01195219123505975,0.01195219123505975,1.0,0.10932607756185052,0.1428571428571428,0.1428571428571428,1.0,0.3779644730092272,0.0,1
b0000691kc,http://www.google.com/base/feeds/snippets/10688959294324458483,0.5333333333333333,0.5333333333333333,0.7843137254901961,0.7001400420140048,0.043585526315789484,0.043585526315789484,1.0,0.20877146911345296,0.15000000000000002,0.15000000000000002,1.0,0.3872983346207417,0.8332777592530843,0
b0000691kc,http://www.google.com/base/feeds/snippets/12049235575237146821,0.5970149253731343,0.5970149253731343,0.7843137254901961,0.7484811885651197,0.1832374691865241,0.1832374691865241,0.9955357142857144,0.4272814772035856,0.15000000000000002,0.15000000000000002,1.0,0.3872983346207417,0.5182072829131653,0
b0000691kc,http://www.google.com/base/feeds/snippets/13637950682292849732,0.6,0.6,0.7647058823529411,0.7501387219099999,0.038651315789473666,0.038651315789473666,1.0,0.19659937891426227,0.15000000000000002,0.15000000000000002,1.0,0.3872983346207417,0.7983193277310925,0
b0000691kc,http://www.google.com/base/feeds/snippets/13676550626962262162,0.3863636363636364,0.3863636363636364,0.6666666666666666,0.5650210848199205,0.17131147540983604,0.17131147540983604,0.9812206572769951,0.4106668972165684,0.15000000000000002,0.15000000000000002,1.0,0.3872983346207417,0.9923969587835136,0
b0000691kc,http://www.google.com/base/feeds/snippets/13725607155690879229,0.7090909090909091,0.7090909090909091,0.9069767441860463,0.832808772430015,0.19556285949055047,0.19556285949055047,0.99581589958159,0.44148018830014135,0.15000000000000002,0.15000000000000002,1.0,0.3872983346207417,0.3981592637054822,0
b0000691kc,http://www.google.com/base/feeds/snippets/14182231694994497845,0.4285714285714286,0.4285714285714286,0.8275862068965517,0.6240611609908125,0.20460147904683645,0.20460147904683645,0.996,0.4516089656934823,0.15000000000000002,0.15000000000000002,1.0,0.3872983346207417,0.5001000600360216,0
b0000691kc,http://www.google.com/base/feeds/snippets/15253105067631588667,0.3389830508474576,0.3389830508474576,0.7142857142857143,0.5292561240249631,0.2027914614121511,0.2027914614121511,0.9919678714859438,0.4488802444924285,0.15000000000000002,0.15000000000000002,1.0,0.3872983346207417,0.4998999799959992,0
b0000691kc,http://www.google.com/base/feeds/snippets/15544999546747963941,0.3406593406593407,0.3406593406593407,0.6078431372549019,0.5151662832181628,0.2032786885245902,0.2032786885245902,0.984126984126984,0.4480068175874621,0.15000000000000002,0.15000000000000002,1.0,0.3872983346207417,0.3633453381352541,0
b0000691kc,http://www.google.com/base/feeds/snippets/17330899240149634868,0.484375,0.484375,0.7045454545454546,0.6544105129271611,0.1963993453355155,0.1963993453355155,0.975609756097561,0.438810388578619,0.15000000000000002,0.15000000000000002,1.0,0.3872983346207417,0.6110444177671068,0
b0000691kc,http://www.google.com/base/feeds/snippets/17453432506391757198,0.4722222222222222,0.4722222222222222,0.6666666666666666,0.6419666752419568,0.20016406890894176,0.20016406890894176,0.9878542510121456,0.4452198943386707,0.15000000000000002,0.15000000000000002,1.0,0.3872983346207417,0.6842737094837936,0
b0000691kc,http://www.google.com/base/feeds/snippets/18411829719350853812,0.4556962025316456,0.4556962025316456,0.7058823529411765,0.6301260378126043,0.1939690301548493,0.1939690301548493,0.9558232931726908,0.4325242841667933,0.15000000000000002,0.15000000000000002,1.0,0.3872983346207417,0.8620213866850638,0
