id_l,id_r,name_ham,name_go,name_js,name_tv,name_oc,name_cs,name_mE,description_js,description_tv,description_oc,description_cs,price_div,label
387,442,0.046875,0.6370370370370368,0.3787878787878788,0.3787878787878788,0.9259259259259259,0.6014065304058601,0.0059814453125,0.010948905109489093,0.010948905109489093,1.0,0.10463701596227337,0.0,1
871,642,0.08064516129032262,0.684,0.4736842105263157,0.4736842105263157,0.72,0.6465790872963897,0.007284079084287187,0.2827586206896552,0.2827586206896552,0.9647058823529412,0.525005001976972,0.0,0
144,749,0.020000000000000018,0.5653061224489796,0.3561643835616438,0.3561643835616438,0.5306122448979592,0.5252793231671495,0.007600000000000051,0.2798165137614679,0.2798165137614679,0.648936170212766,0.4625727488904866,0.0,0
289,766,0.02777777777777779,0.5078947368421053,0.3580246913580247,0.3580246913580247,0.7631578947368421,0.5544213568538576,0.005111882716049343,0.01382488479262678,0.01382488479262678,1.0,0.11757927025044312,0.0,0
560,746,0.3023255813953488,0.7452380952380954,0.9767441860465116,0.9767441860465116,1.0,0.9883036912035246,0.011627906976744207,0.2614840989399294,0.2614840989399294,0.9736842105263158,0.5063744256968481,0.0,1
199,233,0.21818181818181814,0.8274999999999999,0.7272727272727273,0.7272727272727273,1.0,0.8528028654224418,0.00892561983471074,0.11038961038961037,0.11038961038961037,0.8947368421052632,0.3163372442150344,0.0,1
846,955,0.10526315789473684,0.5574468085106383,0.48571428571428577,0.48571428571428577,0.723404255319149,0.6568898634067281,0.007540781779008965,0.009090909090909038,0.009090909090909038,1.0,0.09534625892455928,0.0,1
264,465,0.04761904761904767,0.5333333333333333,0.368421052631579,0.368421052631579,0.5833333333333334,0.5400617248673216,0.010030864197530853,0.32644628099173556,0.32644628099173556,0.9186046511627907,0.555704526730882,0.0,0
149,267,0.125,0.5624999999999998,0.36585365853658536,0.36585365853658536,0.9375,0.5929270612815711,0.005156249999999973,0.017241379310344862,0.017241379310344862,1.0,0.13130643285972254,1.0,1
993,998,0.11764705882352944,0.8147058823529412,0.7894736842105263,0.7894736842105263,0.8823529411764706,0.8823529411764706,0.014705882352941124,0.017142857142857126,0.017142857142857126,1.0,0.1309307341415954,1.0,1
301,415,0.12068965517241381,0.6272727272727273,0.4125,0.4125,0.6,0.5842767412321216,0.007107438016528911,0.012875536480686733,0.012875536480686733,1.0,0.11347042117083506,0.0,1
864,252,0.04477611940298509,0.5348837209302325,0.4285714285714286,0.4285714285714286,0.7674418604651163,0.6148119648879531,0.006237469369570037,0.25,0.25,0.88,0.4772470072010435,0.9834972495415902,0
15,56,0.2564102564102564,0.723076923076923,0.6666666666666666,0.6666666666666666,1.0,0.816496580927726,0.012163050624589111,0.08163265306122447,0.08163265306122447,0.9230769230769231,0.2754438892829332,0.7368000000000001,1
145,174,0.19402985074626866,0.5432432432432431,0.48571428571428577,0.48571428571428577,0.918918918918919,0.6828741196823824,0.007017153040766333,0.1633663366336634,0.1633663366336634,0.9428571428571428,0.3944254410803498,0.0,1
145,840,0.07462686567164178,0.525,0.41666666666666674,0.41666666666666674,0.6730769230769231,0.592964879125235,0.0061260859879705976,0.015000000000000013,0.015000000000000013,1.0,0.12247448713915887,0.0,0
720,55,0.0,0.43333333333333335,0.4155844155844156,0.4155844155844156,0.8888888888888888,0.6242194517126963,0.005254269093638575,0.01773049645390068,0.01773049645390068,0.8333333333333334,0.12177025603587077,0.0,0
