id_l,id_r,name_ham,name_go,name_js,name_tv,name_oc,name_cs,name_mE,description_js,description_tv,description_oc,description_cs,price_div,label
611,604,0.1578947368421053,0.7892857142857144,0.6097560975609756,0.6097560975609756,0.8928571428571429,0.7664241743562074,0.011080332409972304,0.1171875,0.1171875,1.0,0.3423265984407289,0.0,1
7,158,0.19999999999999996,0.8076923076923078,0.78,0.78,1.0,0.8831760866327847,0.009800000000000031,0.014925373134328401,0.014925373134328401,1.0,0.12216944435630528,0.0,1
1,943,0.1132075471698113,0.5476190476190477,0.3380281690140845,0.3380281690140845,0.5714285714285714,0.5086846840791569,0.007831968672125322,0.01449275362318836,0.01449275362318836,1.0,0.12038585308576921,0.2506015037593985,0
0,88,0.02777777777777779,0.568,0.32608695652173914,0.32608695652173914,0.6,0.5,0.013600000000000056,0.020618556701030966,0.020618556701030966,0.8,0.12876455599593006,0.0,0
155,442,0.012195121951219523,0.27407407407407397,0.29761904761904767,0.29761904761904767,0.9259259259259259,0.5313139275527818,0.0041641879833432816,0.012820512820512775,0.012820512820512775,1.0,0.11322770341445954,0.0,0
723,744,0.049180327868852514,0.5461538461538461,0.34523809523809523,0.34523809523809523,0.5576923076923077,0.5149100975656153,0.005106154259607587,0.47736625514403297,0.47736625514403297,0.9354838709677419,0.6795371673715839,0.0,0
722,587,0.022222222222222254,0.5588235294117647,0.5192307692307693,0.5192307692307693,0.7941176470588235,0.6902684899626335,0.008888888888888835,0.5357142857142857,0.5357142857142857,0.7228915662650602,0.6980992973372321,1.0,0
720,56,0.0,0.23461538461538448,0.25316455696202533,0.25316455696202533,0.7692307692307693,0.4590731488048886,0.0044098329893038635,0.0462633451957295,0.0462633451957295,1.0,0.21508915638806514,0.0,0
145,711,0.14925373134328357,0.5399999999999998,0.41666666666666674,0.41666666666666674,0.8571428571428571,0.6195121541733007,0.006460236132769026,0.10784313725490202,0.10784313725490202,0.8461538461538461,0.305085107923876,0.0,0
696,754,0.04210526315789476,0.3448275862068964,0.26530612244897966,0.26530612244897966,0.896551724137931,0.4953504323372464,0.003268698060941877,0.007894736842105288,0.007894736842105288,1.0,0.08885233166386386,0.0,1
872,1045,0.11688311688311692,0.6368421052631579,0.33720930232558133,0.33720930232558133,0.7631578947368421,0.5361185533187384,0.005144206442907695,0.3136456211812627,0.3136456211812627,0.9871794871794872,0.5575758974731859,0.0,0
150,761,0.021276595744680882,0.5275000000000001,0.42622950819672134,0.42622950819672134,0.65,0.5996452852187752,0.008827523766410161,0.018181818181818188,0.018181818181818188,1.0,0.13483997249264845,1.0,0
54,64,0.19999999999999996,0.9135135135135134,0.74,0.74,1.0,0.8602325267042626,0.013513513513513487,0.15816326530612246,0.15816326530612246,1.0,0.39769745448785865,0.0,1
8,706,0.019607843137254943,0.5111111111111111,0.359375,0.359375,0.6388888888888888,0.536774032210737,0.0071126489811610405,0.5573770491803278,0.5573770491803278,0.7555555555555555,0.7167829363048327,0.0,0
